iter	Logloss
0	0.5762838129
1	0.463160901
2	0.3987704665
3	0.3094605663
4	0.2471813381
5	0.2202897768
6	0.198559005
7	0.1809061219
8	0.1625925184
9	0.1487576298
10	0.1388870724
11	0.1294059579
12	0.119755362
13	0.1106030569
14	0.1050907368
15	0.09705399039
16	0.09270823834
17	0.08874057578
18	0.08606473381
19	0.08250852281
20	0.07741312598
21	0.07457941101
22	0.07035445246
23	0.06842117278
24	0.06547305671
25	0.06386549566
26	0.06241893843
27	0.05850674175
28	0.05736857136
29	0.05500971435
30	0.05219234106
31	0.05013133248
32	0.04850999117
33	0.04750752107
34	0.04607666603
35	0.04552245572
36	0.04373747883
37	0.0416930333
38	0.04069315876
39	0.03953044452
40	0.03834609288
41	0.03737068335
42	0.03591187186
43	0.03532362355
44	0.03452458202
45	0.0331763838
46	0.0321906
47	0.03162134401
48	0.03010615283
49	0.02838781906
50	0.02766587811
51	0.02673851759
52	0.02617665528
53	0.02559756203
54	0.02481827408
55	0.02434350235
56	0.02377404404
57	0.02313114668
58	0.02277457312
59	0.02179144342
60	0.02115498635
61	0.02067561973
62	0.02034148947
63	0.01961604261
64	0.01892603038
65	0.01834916119
66	0.01766583136
67	0.01699573209
68	0.0166225807
69	0.01611721292
70	0.01559543986
71	0.01529371392
72	0.01480598184
73	0.01438459515
74	0.01403780058
75	0.01357976935
76	0.01331948939
77	0.01301967923
78	0.01283198685
79	0.01264493118
80	0.01228368461
81	0.01202257633
82	0.01160253239
83	0.01149226294
84	0.01131383717
85	0.01104605031
86	0.01069340503
87	0.01050667959
88	0.01033663135
89	0.01021210592
90	0.01007314749
91	0.009847555357
92	0.009659485437
93	0.009540535305
94	0.009350395878
95	0.009152762099
96	0.009020233381
97	0.008866409338
98	0.008760568589
99	0.008476140955
100	0.008313454371
101	0.008205092366
102	0.008116499995
103	0.007950006626
104	0.007746118662
105	0.007549522636
106	0.007396114813
107	0.007156027751
108	0.006978918111
109	0.006836326029
110	0.00671362215
111	0.006571805505
112	0.006491529951
113	0.0064421511
114	0.006327783466
115	0.00619180656
116	0.006110317597
117	0.00601797676
118	0.005901662918
119	0.005823830337
120	0.005720900684
121	0.005647076903
122	0.005606673283
123	0.005446961007
124	0.005334470298
125	0.005258245644
126	0.005214911379
127	0.005122324603
128	0.005080199449
129	0.00492646886
130	0.004839768374
131	0.00475174421
132	0.00471328209
133	0.004682775881
134	0.004613819793
135	0.004561163529
136	0.004470550156
137	0.004428447491
138	0.004364951182
139	0.004317666708
140	0.004290245171
141	0.004169813378
142	0.004047862559
143	0.004019908311
144	0.003964699788
145	0.003891452853
146	0.003777936783
147	0.003713502599
148	0.003696023995
149	0.003620599151
150	0.003569929467
151	0.003520904026
152	0.003507240059
153	0.003453961784
154	0.00338912554
155	0.003362019148
156	0.003307621541
157	0.003265874004
158	0.003242399475
159	0.003213979425
160	0.003213924817
161	0.00314069757
162	0.003108349991
163	0.003093337491
164	0.003067043138
165	0.003030896566
166	0.002968491482
167	0.002945813874
168	0.002925976924
169	0.002904882515
170	0.00288241175
171	0.0028301287
172	0.00277965084
173	0.002757952862
174	0.002740380767
175	0.002719953527
176	0.002660258985
177	0.002641273033
178	0.002617161651
179	0.00259375229
180	0.002577460851
181	0.002545488684
182	0.002525603206
183	0.00250342844
184	0.002489925485
185	0.002480516125
186	0.002456747826
187	0.002422451162
188	0.002402300516
189	0.002370283892
190	0.002358723642
191	0.002324315294
192	0.00229869632
193	0.002288547979
194	0.00226624526
195	0.002238353776
196	0.002215336871
197	0.002186382178
198	0.002157225981
199	0.002138761134
